Case	x	y
1	1.76	0.20
2	2.46	0.30
3	3.75	0.25
4	4.80	0.30
5	5.74	0.35
6	6.38	0.32
7	7.95	0.36
8	8.31	0.35
9	9.02	0.34
10	10.46	0.30
11	11.03	0.35
12	12.08	0.33
13	13.75	0.26
14	14.32	0.33
15	15.03	0.25
16	16.85	0.28
17	17.50	0.24
18	18.85	0.26
19	19.59	0.19
20	20.12	0.20
21	21.84	0.24
22	22.57	0.21
23	23.43	0.22
24	24.57	0.19
25	25.08	0.25
26	26.40	0.26
27	27.16	0.24
28	28.61	0.29
29	29.97	0.33
30	30.54	0.25
31	31.33	0.26
32	32.72	0.35
33	33.04	0.26
34	34.76	0.28
35	35.93	0.33
36	36.09	0.32
37	37.02	0.32
38	38.93	0.29
39	39.61	0.25
40	40.12	0.26
