EQU,SUS,VIC,BOS,TUR,FEL,CAN,PTE,MYO,ERI,SOR,TAR,MIC,OTO,CAL,NEW,PON,GOR,PAN,HOM,ORY,OCH,TUP,CAV,DIP,SPE,RAT,MUS,CHO,DAS,PRO,LOX,ECH,MAC,MON,ORN,GAL
0,?,0.04953,?,?,?,?,0.0661,0.06722,0.13105,0.09982,0.14453,0.09151,0.062,0.06617,0.07002,0.06609,?,0.08024,?,?,0.1475,0.07596,0.09177,?,0.12273,0.10306,?,?,0.12501,0.12912,?,0.14504,0.12038,?,?,?
?,0,?,0.17198,0.13391,0.13105,0.14046,?,?,0.22764,?,0.18298,0.17231,?,?,0.14943,?,0.15728,0.15729,0.16372,0.22621,?,?,?,0.19554,?,0.18153,0.18557,0.19787,?,?,0.18795,0.23245,?,0.20902,0.21751,0.40824
0.04953,?,0,?,?,?,?,0.06714,0.07541,0.1478,0.09952,0.15542,0.10138,0.07859,0.08002,0.0927,0.08289,?,0.1005,?,?,0.14558,0.09273,0.10331,?,0.12409,0.1131,?,?,0.12753,0.14106,?,0.15238,0.12929,?,?,?
?,0.17198,?,0,0.1699,0.19462,0.19293,?,?,0.26191,?,0.22487,0.21167,?,?,0.18335,?,0.17965,0.18306,0.18808,0.24789,?,?,?,0.23515,?,0.2336,0.22366,0.23791,?,?,0.22624,0.278,?,0.25074,0.25621,0.44062
?,0.13391,?,0.1699,0,0.13413,0.1397,?,?,0.21966,?,0.18788,0.15594,?,?,0.15321,?,0.151,0.14625,0.1511,0.22321,?,?,?,0.19713,?,0.19648,0.20031,0.19577,?,?,0.18484,0.22527,?,0.21339,0.22484,0.42037
?,0.13105,?,0.19462,0.13413,0,0.07679,?,?,0.21768,?,0.17972,0.14736,?,?,0.12665,?,0.13417,0.12668,0.13439,0.20015,?,?,?,0.20288,?,0.17346,0.18426,0.18648,?,?,0.16016,0.21606,?,0.20803,0.21183,0.41651
?,0.14046,?,0.19293,0.1397,0.07679,0,?,?,0.21524,?,0.18703,0.15876,?,?,0.138,?,0.14411,0.14112,0.14577,0.20118,?,?,?,0.1907,?,0.18218,0.1735,0.18928,?,?,0.1561,0.21642,?,0.19814,0.20395,0.40635
0.0661,?,0.06714,?,?,?,?,0,0.07282,0.15955,0.12239,0.16849,0.09485,0.08349,0.08615,0.0976,0.0859,?,0.10485,?,?,0.15196,0.09884,0.11375,?,0.15181,0.12109,?,?,0.14248,0.15065,?,0.16338,0.13616,?,?,?
0.06722,?,0.07541,?,?,?,?,0.07282,0,0.16272,0.12197,0.1727,0.11031,0.09446,0.08726,0.1075,0.09282,?,0.11192,?,?,0.1665,0.11345,0.124,?,0.14923,0.12072,?,?,0.12769,0.14423,?,0.16073,0.13688,?,?,?
0.13105,0.22764,0.1478,0.26191,0.21966,0.21768,0.21524,0.15955,0.16272,0,0.17081,0.2277,0.19532,0.15794,0.16302,0.17848,0.16277,0.21225,0.19097,0.21199,0.2437,0.22703,0.15917,0.18406,0.24627,0.20929,0.19814,0.22504,0.21859,0.19652,0.21295,0.23976,0.23909,0.20301,0.2427,0.24658,0.43185
