n0_AG,n55_AG,n145_AG,n76_AG,n26_AG,n159_AG,n88_AA,n20_AG,n124_AC,n7_AG,n184_AG,n141_AG,n2_AG,n134_AG,n127_AG,n25_AG,n143_AG,n79_AG,n108_AG,n61_AG,n155_AA,n13_AG,n32_AG,n67_AG,n197_AG,n70_AG,n57_AG,n146_AG,n166_AG,n60_AG,n194_AG,n39_AG,n156_AG,n154_AG,n49_AG,n56_AG,n100_AG,n162_AG,n149_AG,n9_AG,n136_AG,n106_AG,n22_AG,n123_AG,n10_AG,n72_AG,n33_AG,n19_AG,n137_AG,n173_AG,n64_AG,n180_AG,n153_AG,n40_AG,n119_AG,n117_AG,n105_AG,n3_AG,n92_AG,n121_AG,n128_AG,n81_AG,n198_AG,n98_AG,n1_AG,n27_AG,n111_AG,n48_AG,n118_AG,n187_AG,n122_AG,n65_AG,n179_AG,n94_AG,n96_AG,n63_AG,n148_AG,n114_AG,n50_AG,n45_AG,n18_AC,n182_AG,n195_AG,n140_AG,n82_AG,n142_AG,n168_AG,n152_AG,n176_AG,n160_AG,n85_AG,n101_AG,n53_AG,n193_AG,n116_AG,n181_AG,n91_AG,n107_AG,n11_AG,n51_AG,n130_AG,n89_AG,n84_AG,n80_AG,n175_AG,n129_AG,n6_AG,n196_AG,n99_AG,n21_AG,n74_AG,n28_AG,n113_AG,n34_AG,n17_AG,n36_AG,n93_AG,n104_AG,n62_AG,n47_AG,n158_AG,n147_AG,n185_AG,n71_AG,n35_AG,n43_AG,n186_AG,n157_AG,n4_AG,n138_AG,n164_AG,n59_AG,n199_AG,n75_AG,n167_AG,n83_AG,n12_AG,n66_AG,n183_AG,n151_AG,n41_AG,n133_AG,n165_AG,n132_AG,n5_AG,n177_AG,n23_AG,n161_AG,n144_AG,n69_AG,n90_AG,n189_AG,n54_AG,n15_AG,n169_AG,n14_AG,n103_AG,n24_AG,n58_AG,n52_AG,n78_AG,n131_AG,n171_AG,n150_AG,n109_AG,n31_AG,n16_AG,n77_AG,n163_AG,n97_AG,n170_AG,n188_AG,n37_AG,n38_AG,n135_AG,n192_AG,n125_AG,n46_AG,n29_AG,n200_AG,n112_AG,n115_AG,n172_AG,n87_AG,n86_AG,n190_AG,n42_AG,n44_AG,n110_AG,n174_AG,n73_AG,n139_AG,n126_AG,n120_AG,n8_AG,n102_AG,n30_AG,n95_AG,n191_AG,n178_AG,n68_AG
0,0.11455,0.10295,0.11442,0.14619,0.11457,0.30733,0.18485,0.42058,0.09548,0.15077,0.10727,0.13875,0.32167,0.18792,0.16263,0.16291,0.20924,0.23656,0.24668,0.20032,0.41549,0.11064,0.10703,0.13796,0.13817,0.16373,0.31894,0.30826,0.31362,0.13399,0.18533,0.15994,0.11451,0.09538,0.09932,0.1394,0.1116,0.13627,0.13924,0.09581,0.11967,0.11938,0.1473,0.15615,0.15619,0.17083,0.21513,0.13112,0.123,0.1471,0.14267,0.12661,0.20586,0.11065,0.1225,0.13799,0.1343,0.21932,0.15423,0.17131,0.14242,0.13031,0.13049,0.12999,0.21559,0.21994,0.13386,0.11455,0.09538,0.25584,0.20529,0.22121,0.19256,0.14256,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.2191,0.23221,0.13048,0.28645,0.17974,0.15039,0.1348,0.15072,0.12645,0.12259,0.1431,0.14263,0.13025,0.13414,0.14612,0.15501,0.23375,0.14268,0.32637,0.15419,0.14183,0.15104,0.1474,0.17329,0.12726,0.12679,0.1594,0.16327,0.15925,0.11133,0.1037,0.1197,0.11123,0.12252,0.11867,0.11867,0.11514,0.12303,0.16928,0.10333,0.15511,0.15114,0.17623,0.17221,0.16265,0.18563,0.17572,0.2208,0.24087,0.19686,0.1673
0.11455,0,0.04783,0.05844,0.08402,0.05487,0.27612,0.12232,0.39894,0.03729,0.0955,0.04809,0.09613,0.28071,0.12619,0.11046,0.12647,0.14963,0.19721,0.18449,0.16197,0.36237,0.07665,0.08418,0.0839,0.07649,0.0991,0.24985,0.24018,0.24977,0.09931,0.11079,0.09178,0.06952,0.1028,0.10669,0.1382,0.1188,0.1434,0.14664,0.11856,0.1269,0.12682,0.1475,0.14825,0.14829,0.1929,0.2098,0.13454,0.12644,0.15879,0.13477,0.13067,0.20358,0.12236,0.12238,0.14206,0.13418,0.21001,0.17124,0.16257,0.15074,0.13029,0.139,0.13405,0.23392,0.23839,0.1541,0.12588,0.09138,0.2878,0.22663,0.23717,0.19238,0.14164,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.20451,0.2267,0.11027,0.25449,0.14953,0.1217,0.10282,0.11398,0.09123,0.0875,0.13049,0.13759,0.09496,0.09503,0.11782,0.15447,0.21091,0.13845,0.37054,0.14227,0.13403,0.17142,0.14266,0.15478,0.13442,0.13405,0.15457,0.17569,0.1716,0.09908,0.09531,0.10704,0.10279,0.11812,0.11828,0.11828,0.11115,0.11853,0.17725,0.10298,0.16342,0.13831,0.17554,0.17579,0.1579,0.17488,0.16226,0.21079,0.2222,0.20058,0.14993
0.10295,0.04783,0,0.04076,0.06925,0.03379,0.24667,0.10329,0.35874,0.01671,0.08445,0.04099,0.07423,0.27253,0.115,0.0916,0.11096,0.14172,0.17098,0.1675,0.14566,0.35405,0.06219,0.06956,0.08061,0.07309,0.08856,0.24015,0.23107,0.23082,0.09938,0.10742,0.09217,0.0659,0.0953,0.09924,0.12264,0.11153,0.13614,0.13913,0.1111,0.11957,0.11921,0.14793,0.14844,0.14847,0.18509,0.21481,0.12719,0.11908,0.14597,0.12641,0.12641,0.20088,0.11883,0.11536,0.13014,0.12226,0.2063,0.16339,0.1716,0.13853,0.11853,0.12735,0.12231,0.21224,0.21663,0.14183,0.11817,0.0805,0.27329,0.20021,0.21029,0.19219,0.13398,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.20053,0.2045,0.10264,0.25974,0.14566,0.11791,0.09936,0.11407,0.09131,0.08758,0.12333,0.12992,0.09496,0.09497,0.11792,0.14684,0.2116,0.13884,0.35617,0.13403,0.12595,0.16347,0.13501,0.15119,0.12686,0.1265,0.14695,0.16398,0.15997,0.09551,0.08813,0.09299,0.09555,0.11468,0.11084,0.11084,0.10779,0.10724,0.16975,0.08816,0.15588,0.13081,0.16755,0.16771,0.14563,0.17469,0.15867,0.20273,0.22177,0.19673,0.14616
0.11442,0.05844,0.04076,0,0.08388,0.04774,0.26478,0.12647,0.39264,0.03033,0.09164,0.05148,0.09288,0.2678,0.13429,0.11059,0.12642,0.15809,0.19777,0.18151,0.16607,0.35834,0.07316,0.08065,0.0917,0.08407,0.10711,0.24572,0.23643,0.24608,0.11064,0.11854,0.09931,0.07678,0.10679,0.11081,0.13463,0.1273,0.15257,0.15553,0.12331,0.13112,0.135,0.16057,0.16016,0.16019,0.19159,0.21045,0.14333,0.13499,0.15447,0.13079,0.13438,0.19559,0.13464,0.13461,0.14222,0.13421,0.22391,0.17563,0.18396,0.15464,0.13428,0.13562,0.13033,0.23486,0.23938,0.14993,0.13026,0.09953,0.2924,0.22253,0.23208,0.20487,0.14648,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.21425,0.21751,0.11404,0.25039,0.14964,0.12177,0.10281,0.12563,0.10258,0.09879,0.13948,0.14584,0.10628,0.09878,0.12956,0.15489,0.22033,0.14675,0.36277,0.14594,0.13773,0.16342,0.14281,0.15919,0.13853,0.13821,0.15897,0.17614,0.17205,0.11079,0.10335,0.10737,0.11092,0.13044,0.12651,0.12651,0.12352,0.12268,0.17716,0.11122,0.16388,0.14674,0.16708,0.16724,0.16602,0.19592,0.17507,0.21196,0.23529,0.20572,0.15445
0.14619,0.08402,0.06925,0.08388,0,0.07657,0.27464,0.13797,0.40106,0.05848,0.13072,0.08424,0.12736,0.31315,0.17139,0.1422,0.16338,0.17938,0.21453,0.20082,0.20467,0.40281,0.09553,0.11121,0.11097,0.09516,0.11926,0.28226,0.27244,0.28241,0.12687,0.13869,0.11927,0.09582,0.13431,0.1386,0.17582,0.15539,0.17691,0.18068,0.15935,0.16867,0.16814,0.18005,0.18608,0.18613,0.23772,0.25648,0.16445,0.15581,0.20086,0.17992,0.17557,0.23078,0.17184,0.17182,0.16648,0.16685,0.25674,0.20136,0.22386,0.1931,0.1714,0.18109,0.17535,0.24742,0.25199,0.17458,0.17077,0.13038,0.31369,0.25053,0.26224,0.22375,0.17086,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.22756,0.25024,0.154,0.29998,0.18274,0.15782,0.15042,0.16623,0.14172,0.13775,0.17657,0.16621,0.13757,0.13763,0.15369,0.20197,0.25683,0.18494,0.36038,0.18358,0.17486,0.21116,0.18107,0.19336,0.17137,0.1709,0.19262,0.21557,0.21128,0.13811,0.12604,0.13864,0.13383,0.14987,0.14586,0.14586,0.14224,0.15506,0.19967,0.13823,0.17218,0.17545,0.21475,0.21507,0.18303,0.20892,0.18774,0.23701,0.27829,0.23185,0.19189
0.11457,0.05487,0.03379,0.04774,0.07657,0,0.21431,0.11047,0.37965,0.02352,0.0881,0.04796,0.08471,0.27668,0.13044,0.10292,0.1228,0.14981,0.19737,0.18458,0.16203,0.34712,0.06943,0.07693,0.08403,0.07655,0.10329,0.23981,0.23069,0.2493,0.10698,0.11481,0.09568,0.07307,0.10679,0.10679,0.14257,0.12338,0.14848,0.15146,0.12291,0.13158,0.1312,0.16047,0.16532,0.16537,0.2025,0.2239,0.13929,0.13102,0.16679,0.13456,0.13845,0.20451,0.13078,0.13077,0.14222,0.13421,0.21988,0.17154,0.17986,0.15081,0.13044,0.13946,0.13425,0.23525,0.23974,0.15407,0.12223,0.09175,0.2833,0.21376,0.22442,0.20539,0.13813,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.20476,0.20852,0.11419,0.27426,0.14989,0.12197,0.11085,0.12579,0.10265,0.09887,0.13533,0.14197,0.10632,0.10633,0.12965,0.15927,0.2116,0.14672,0.35963,0.1461,0.13786,0.16389,0.13933,0.15514,0.13896,0.13854,0.15939,0.17195,0.16789,0.10702,0.09953,0.11194,0.10704,0.1265,0.12261,0.12261,0.11958,0.12314,0.18777,0.10734,0.1594,0.14702,0.17578,0.18057,0.16207,0.19195,0.1756,0.21203,0.23103,0.21003,0.15851
0.30733,0.27612,0.24667,0.26478,0.27464,0.21431,0,0.29945,0.49147,0.24217,0.2913,0.27207,0.29288,0.46008,0.31559,0.29336,0.306,0.33484,0.32699,0.32607,0.34101,0.49244,0.27198,0.29707,0.31165,0.29527,0.30648,0.43383,0.42258,0.44729,0.31866,0.28623,0.27014,0.2664,0.29539,0.29536,0.32002,0.31692,0.3344,0.35578,0.3215,0.31689,0.32778,0.34984,0.36702,0.35602,0.38694,0.40104,0.35033,0.33887,0.35202,0.34032,0.34392,0.39358,0.32837,0.32959,0.33619,0.326,0.3828,0.34346,0.34988,0.34989,0.34631,0.33367,0.35142,0.41079,0.40958,0.34576,0.33912,0.30324,0.42396,0.41251,0.4117,0.3819,0.34692,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.38949,0.40737,0.29861,0.45928,0.33938,0.30934,0.31118,0.32903,0.3047,0.29968,0.36393,0.31325,0.28793,0.29758,0.30872,0.34707,0.40532,0.33627,0.51632,0.34144,0.33028,0.3809,0.36259,0.36065,0.3373,0.33711,0.37641,0.35178,0.34672,0.29938,0.29076,0.30341,0.30027,0.32021,0.31504,0.31014,0.31212,0.32709,0.3676,0.30207,0.35488,0.34144,0.34395,0.34481,0.32804,0.33939,0.34561,0.36834,0.37675,0.38895,0.32993
0.18485,0.12232,0.10329,0.12647,0.13797,0.11047,0.29945,0,0.46238,0.09929,0.15902,0.11966,0.14542,0.31523,0.2028,0.18001,0.19771,0.23175,0.25731,0.24357,0.22329,0.42215,0.14703,0.15521,0.15503,0.13804,0.16309,0.31525,0.31036,0.32128,0.16688,0.18141,0.1684,0.14297,0.17989,0.18454,0.20636,0.19418,0.22675,0.22542,0.19341,0.20337,0.19791,0.22964,0.22168,0.22174,0.26179,0.29472,0.19828,0.18922,0.22821,0.21995,0.21511,0.26059,0.19369,0.20212,0.21423,0.21485,0.28225,0.21917,0.24371,0.2338,0.21081,0.21635,0.21056,0.25845,0.26314,0.21918,0.19619,0.16337,0.33924,0.28459,0.29746,0.25951,0.20948,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.30068,0.28532,0.18779,0.35389,0.22711,0.20457,0.18862,0.19582,0.17914,0.17496,0.20655,0.18794,0.1791,0.17922,0.18723,0.22427,0.29236,0.21598,0.40807,0.18524,0.1859,0.24373,0.22567,0.23711,0.20695,0.21062,0.22382,0.2482,0.24752,0.17118,0.17222,0.17849,0.18044,0.1801,0.17185,0.17586,0.17701,0.19852,0.24316,0.17691,0.23209,0.19733,0.24909,0.24931,0.21968,0.2365,0.23435,0.27791,0.29365,0.24761,0.22876
0.42058,0.39894,0.35874,0.39264,0.40106,0.37965,0.49147,0.46238,0,0.36423,0.43185,0.38229,0.41535,0.5475,0.41877,0.44549,0.45748,0.49422,0.48923,0.51952,0.47919,0.62877,0.38487,0.38481,0.40765,0.40216,0.42096,0.47558,0.48874,0.4754,0.36784,0.41461,0.38959,0.39048,0.4116,0.41848,0.43404,0.44209,0.47647,0.42716,0.43901,0.43116,0.46033,0.49485,0.47622,0.45533,0.50356,0.56751,0.46163,0.45596,0.40766,0.40959,0.40955,0.49452,0.42329,0.42052,0.43463,0.43262,0.59793,0.52049,0.53376,0.47628,0.45598,0.47662,0.44232,0.55195,0.55021,0.46867,0.44166,0.42402,0.56014,0.56178,0.57755,0.4996,0.4463,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.44374,0.52809,0.41329,0.57479,0.43772,0.43042,0.41621,0.42656,0.42113,0.42179,0.44089,0.42537,0.40846,0.42593,0.43788,0.45739,0.5159,0.44059,0.66678,0.43236,0.42498,0.45132,0.42178,0.41186,0.42877,0.42395,0.46112,0.43519,0.44089,0.39929,0.41208,0.4046,0.41675,0.43,0.42629,0.42418,0.42403,0.42395,0.46585,0.41115,0.46073,0.43929,0.46226,0.45992,0.45143,0.5093,0.48345,0.5384,0.49995,0.53464,0.49009
0.09548,0.03729,0.01671,0.03033,0.05848,0.02352,0.24217,0.09929,0.36423,0,0.07343,0.03051,0.07021,0.25799,0.1109,0.08414,0.1035,0.13383,0.17596,0.16353,0.14172,0.35339,0.05149,0.05881,0.06948,0.06212,0.08445,0.23577,0.22646,0.23584,0.08809,0.09966,0.0809,0.05501,0.08789,0.0918,0.12271,0.10396,0.12832,0.13127,0.10356,0.11193,0.11161,0.14001,0.14477,0.14482,0.18088,0.20621,0.11947,0.11144,0.13807,0.11492,0.11086,0.18382,0.11121,0.1112,0.12238,0.1146,0.18886,0.15087,0.15896,0.13073,0.11091,0.11961,0.11462,0.20367,0.20799,0.13397,0.11053,0.07323,0.27359,0.20473,0.21506,0.1838,0.12615,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.19665,0.20451,0.09514,0.25058,0.13771,0.11023,0.09182,0.10263,0.08389,0.0802,0.11559,0.11437,0.0875,0.0875,0.11025,0.13892,0.20298,0.13101,0.33563,0.1224,0.11442,0.1554,0.12724,0.14324,0.11916,0.11877,0.13902,0.15946,0.15547,0.0881,0.08078,0.09281,0.08811,0.10706,0.10327,0.10327,0.10025,0.10377,0.16246,0.08838,0.14789,0.127,0.15944,0.15961,0.14177,0.17082,0.15486,0.19422,0.222,0.18406,0.13824
